year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
138, 2, 2, 890, 0.0588829, 0.0588829, 1449.15, 1380.81, -3.5, 51.7372, 54.5373, 167.44
139, 2, 2, 890, 0.00673773, 0.00673773, 1312.33, 1203.6, -1, 52.3673, 52.6776, 136.04
140, 2, 2, 890, 0.302001, 0.302001, 1336.27, 1289.58, -2.5, 37.4214, 53.2001, 176.4
141, 2, 2, 890, 0.0494583, 0.0565237, 1500.99, 1301.16, -2.8, 54.6435, 56.8368, 95.8
142, 2, 2, 890, 9.69558e-09, 9.69558e-09, 1112.64, 1013.24, -4.9, 52.1823, 52.1823, 155.34
143, 2, 2, 890, 0.0254993, 0.0254993, 1152.94, 1069.83, -2.6, 51.3221, 52.3281, 140.76
144, 2, 2, 890, 7.78317e-09, 7.78317e-09, 1101.86, 1054.49, -10.7, 49.8066, 49.8066, 160.84
145, 2, 2, 890, 8.58468e-09, 1.03016e-08, 1268.59, 1115.25, -0.1, 54.4112, 54.4112, 135.08
146, 2, 2, 890, 1.79275e-08, 1.79275e-08, 1380.8, 1284.41, -2.3, 52.6495, 52.6495, 176.94
147, 2, 2, 890, 0.19181, 0.19181, 1546.37, 1381.33, -1.1, 50.6185, 57.8684, 108.87
148, 2, 2, 890, 1.58786e-08, 1.58786e-08, 1191.4, 1104.25, -1.4, 53.1205, 53.1205, 176.29
149, 2, 2, 890, 1.27144e-08, 1.27144e-08, 1468.2, 1320.49, -0.5, 56.223, 56.223, 192.85
150, 2, 2, 890, 0.122417, 0.122417, 1143.21, 1107.74, -2.8, 44.2805, 49.4529, 141.27
151, 2, 2, 890, 0.0280076, 0.0280076, 1276.77, 1188.89, -6.5, 51.4801, 53.1181, 153.56
152, 2, 2, 890, 0.161988, 0.161988, 1431.3, 1346.26, -0.2, 46.8581, 54.3885, 119.56
153, 2, 2, 890, 1.03356e-08, 1.03356e-08, 1120.99, 1072.51, -5, 50.2548, 50.2548, 222.96
154, 2, 2, 890, 4.1083e-09, 4.1083e-09, 1307.53, 1233.84, -2.3, 52.7049, 52.7049, 188.67
155, 2, 2, 890, 0.104651, 0.104651, 1352.2, 1250.85, -2, 48.3832, 53.2595, 152.09
156, 2, 2, 890, 0.0177945, 0.0177945, 1223.2, 1142.63, -1.9, 51.5486, 52.4573, 182.21
157, 2, 2, 890, 0.14908, 0.14908, 1343.77, 1289.33, -3.8, 46.9814, 52.9056, 156.74
158, 2, 2, 890, 2.89478e-09, 2.89478e-09, 1281.66, 1195.36, -2.7, 50.8006, 50.8006, 210.52
159, 2, 2, 890, 0.165256, 0.165256, 1445.12, 1351.74, -2.9, 47.3933, 54.8868, 105.74
160, 2, 2, 890, 0.0824523, 0.0824523, 1134.12, 975.377, 0, 52.1925, 54.1622, 119.72
161, 2, 2, 890, 0.0596951, 0.0596951, 1340.61, 1276.77, -2.3, 48.7, 51.3343, 162.61
162, 2, 2, 890, 0.0179738, 0.0179738, 1139.66, 1019.27, 0.5, 52.049, 52.7305, 173.23
163, 2, 2, 890, 0.0125127, 0.0125127, 1310.08, 1228.56, -0.3, 52.4211, 53.0098, 122.55
164, 2, 2, 890, 0.120747, 0.120747, 1392.56, 1323.64, -0.8, 49.0831, 53.5345, 115.86
165, 2, 2, 890, 2.15621e-08, 2.15621e-08, 1230.31, 1113.02, -0.7, 53.4137, 53.4137, 194
166, 2, 2, 890, 1.55886e-08, 1.55886e-08, 1148.23, 1029.97, -1.2, 52.4196, 52.4196, 174.77
167, 2, 2, 890, 0.0142158, 0.0142158, 1260.59, 1193.79, -3.4, 51.544, 52.2203, 179.64
168, 2, 2, 890, 4.65453e-09, 4.65453e-09, 1102.43, 1041.67, -2, 50.0255, 50.0255, 189.79
169, 2, 2, 890, 0.00936755, 0.00936755, 1247.27, 1161.87, -2.3, 53.0607, 53.5697, 215.8
170, 2, 2, 890, 1.04116e-08, 1.04116e-08, 1455.31, 1337.92, 0.4, 54.5471, 54.5471, 172.16
171, 2, 2, 890, 0.241334, 0.241334, 1564.58, 1440.02, -3.2, 41.8006, 56.4764, 137.22
172, 2, 2, 890, 0.0212314, 0.0247699, 1234.13, 1089.04, -3.5, 50.2312, 51.3033, 146.92
173, 2, 2, 890, 0.0937053, 0.0937053, 1379.45, 1326.42, -5.5, 47.9588, 51.986, 137.42
174, 2, 2, 890, 1.31592e-08, 1.31592e-08, 1410.78, 1313.61, -5.4, 53.9617, 53.9617, 167.27
175, 2, 2, 890, 4.5166e-09, 4.5166e-09, 1370.43, 1275.17, -3.6, 52.9309, 52.9309, 175.95
176, 2, 2, 890, 8.38058e-09, 8.38058e-09, 1391.66, 1316.14, -0.8, 54.5438, 54.5438, 194.22
177, 2, 2, 890, 1.84887e-08, 1.84887e-08, 1548.25, 1309.43, 2.9, 58.5617, 58.5617, 130.06
178, 2, 2, 890, 0.00825424, 0.00825424, 1479.89, 1327.71, -1.4, 56.2582, 56.6224, 132.22
179, 2, 2, 890, 0.262892, 0.262892, 1394.33, 1264.51, -1.4, 46.0778, 54.2571, 106.83
180, 2, 2, 890, 0.110122, 0.132146, 1534.5, 1380.31, 1.5, 52.239, 57.1183, 113.19
181, 2, 2, 890, 0.00602636, 0.00602636, 1338.4, 1249.9, 0.9, 55.4864, 55.7951, 116.14
182, 2, 2, 890, 0.0291111, 0.033963, 1632.63, 1437.24, 0.5, 55.8615, 57.4868, 146.94
183, 2, 2, 890, 0.04058, 0.04058, 1420.46, 1340.47, -1.4, 51.4821, 53.7385, 138.08
184, 2, 2, 890, 0.00190135, 0.00190135, 1212.17, 1105.95, -2.6, 53.3259, 53.4205, 103.97
185, 2, 2, 890, 0.112264, 0.112264, 1516.93, 1335.43, 1.2, 52.0699, 57.1961, 116.86
186, 2, 2, 890, 0.0736875, 0.0736875, 1370.21, 1262.9, -0.7, 51.9843, 54.7145, 120.18
187, 2, 2, 890, 1.32443e-08, 1.32443e-08, 1461.81, 1389.93, -2.6, 54.9319, 54.9319, 154.21
188, 2, 2, 890, 0.0454608, 0.0454608, 1540.82, 1428.16, -0.6, 54.161, 56.8664, 135.58
189, 2, 2, 890, 0.0232558, 0.0232558, 1445.47, 1368.3, -2.8, 52.6746, 53.8115, 165.43
190, 2, 2, 890, 0.0145959, 0.0145959, 1463.93, 1299.51, 2, 57.0011, 57.6602, 159.96
191, 2, 2, 890, 0.226294, 0.271553, 1881.11, 1717.75, -2, 47.1772, 59.686, 90.79
