decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
1, 0.546464, 17.5428, 13.6888, 17.0278, 6.88885, 846, 0.3125
1, 0.105271, 14.2228, 12.8076, 20.6785, 10.3529, 847, 0.4375
1, 0.640122, 14.9822, 13.5302, 13.9795, 6.38357, 848, 0.4375
1, 1.00958, 12.6089, 13.1099, 14.2963, 12.107, 849, 0.375
1, 0.578107, 14.3115, 17.609, 16.1504, 7.99176, 850, 0.6875
1, 0.522577, 17.4453, 13.8006, 16.3386, 7.84633, 851, 0.3125
1, 0.693128, 13.6155, 19.7065, 17.6331, 6.10735, 852, 0.4375
1, 0.217685, 15.1143, 14.9533, 17.5905, 9.47646, 853, 0.75
1, 0.0815005, 14.9209, 17.4507, 13.3717, 7.14291, 854, 0.375
1, 0.174101, 16.8354, 12.2147, 17.848, 7.34863, 855, 0.9375
1, 0.577226, 16.1841, 12.2848, 19.4925, 5.99599, 856, 0.375
1, 0.223781, 12.2281, 18.5985, 17.8182, 7.50738, 857, 0.625
1, 0.35501, 11.6987, 11.6983, 19.0191, 10.3825, 858, 1
1, 0.418068, 12.2762, 15.2391, 17.9407, 6.38167, 859, 0.5
1, 0.172062, 17.2546, 18.1921, 11.8525, 8.66754, 860, 0.8125
1, 0.160591, 15.0499, 16.0797, 14.725, 10.8222, 861, 1
1, 0.350311, 14.9132, 14.259, 17.602, 9.69303, 862, 0.75
1, 0.269223, 15.6234, 15.6872, 14.1668, 8.14688, 863, 1.0625
1, 0.0657745, 12.2788, 16.4219, 15.3306, 9.1284, 864, 0.6875
1, 0.382427, 16.7992, 13.5672, 16.2478, 7.56013, 865, 0.5625
1, 0.233996, 14.8904, 17.1202, 15.4584, 6.60962, 866, 1.125
1, 0.54421, 12.5727, 15.848, 14.9806, 9.09014, 867, 0.8125
1, 0.28748, 13.0974, 16.9532, 15.3848, 11.8275, 868, 0.75
1, 0.340119, 14.3138, 15.2941, 16.7891, 6.63198, 869, 1
1, 0.503509, 16.1786, 12.9774, 16.8823, 4.6503, 870, 0.8125
1, 0.613064, 13.5455, 16.3445, 12.9069, 7.7776, 871, 0.9375
1, 0.484835, 16.5887, 10.7515, 19.5666, 6.89358, 872, 0.9375
1, 0.472084, 16.916, 11.0313, 16.4012, 6.25991, 873, 0.8125
1, 0.537969, 13.3334, 12.9319, 20.4636, 6.46072, 874, 1.125
1, 0.217905, 13.3157, 14.2057, 16.4454, 10.2425, 875, 0.625
1, 0.662221, 14.4716, 10.9127, 18.3238, 7.39961, 876, 0.9375
1, 0.310961, 14.9515, 13.237, 17.7605, 8.09118, 877, 1.1875
1, 0.0729257, 14.9259, 16.0877, 16.138, 7.09871, 878, 0.625
1, 0.551322, 15.4847, 12.4891, 17.8853, 6.92808, 879, 1
1, 0.388146, 13.9421, 16.5405, 16.7195, 5.7617, 880, 1.1875
1, 0.288393, 12.9039, 13.9488, 17.8848, 7.44466, 881, 0.8125
1, 0.529787, 13.6651, 12.4652, 19.845, 7.72681, 882, 0.8125
1, 0.335723, 14.6013, 11.975, 20.1868, 5.70973, 883, 1.125
1, 0.498362, 16.6668, 12.9281, 16.6165, 5.72898, 884, 1
1, 0.29778, 15.252, 13.6602, 17.8235, 7.25963, 885, 0.9375
1, 0.19832, 13.6607, 14.5054, 20.4758, 5.83529, 886, 1.0625
1, 0.543621, 14.4872, 13.7954, 17.9256, 6.27095, 887, 1.125
1, 0.418828, 15.1748, 13.0329, 20.9849, 7.29137, 888, 1.1875
1, 0.39792, 16.2776, 12.2559, 16.0586, 6.97144, 889, 0.625
1, 0.415411, 14.8204, 13.8781, 19.9841, 7.34084, 890, 1.125
1, 0.702977, 17.7192, 12.0657, 18.1757, 5.72767, 891, 1.125
1, 0.0403191, 15.7365, 13.7258, 15.4447, 5.12382, 892, 0.75
1, 0.404576, 13.9087, 11.9365, 21.3658, 6.47294, 893, 0.875
1, 0.528557, 15.2531, 15.5342, 17.4592, 6.56031, 894, 1.25
1, 0.168513, 15.0564, 14.2114, 16.8591, 7.13085, 895, 0.9375
1, 0, 13.6322, 13.811, 21.4361, 5.7068, 896, 0.75
1, 0.551882, 16.8489, 14.5302, 15.6837, 7.49728, 897, 1.125
1, 0.57898, 14.4565, 15.2975, 18.3137, 8.49726, 898, 0.9375
1, 0.378239, 15.8284, 13.1941, 14.4043, 8.4024, 899, 0.875
1, 0.361248, 13.4955, 12.5311, 16.0973, 10.4197, 900, 0.75
1, 0.24029, 15.8345, 15.3543, 16.3439, 7.36999, 901, 1.125
1, 0.144128, 15.9849, 13.0024, 18.0241, 6.5453, 902, 0.9375
1, 0.464183, 13.9933, 13.8763, 19.2545, 7.25897, 903, 0.9375
1, 0.458006, 15.6109, 13.4064, 13.0907, 7.65176, 904, 0.6875
1, 0.155379, 16.7869, 10.8731, 15.0008, 10.3177, 905, 1.0625
1, 1.138, 17.1188, 15.5908, 13.0683, 8.50806, 906, 0.875
1, 0.276465, 14.6683, 16.7263, 17.5354, 6.26408, 907, 0.9375
1, 0.379566, 13.3355, 16.7903, 14.5495, 9.1295, 908, 0.75
1, 0.19309, 17.7251, 12.3819, 17.5948, 7.77969, 909, 0.8125
1, 0.0753905, 16.3456, 13.709, 14.7629, 6.84932, 910, 1
1, 0.598732, 16.2595, 10.6408, 20.677, 5.04128, 911, 0.9375
1, 0.0393449, 15.9149, 13.664, 17.6787, 8.15474, 912, 0.75
1, 0.0586236, 21.5309, 11.6771, 14.3427, 5.73494, 913, 0.75
1, 0.422611, 17.9117, 13.9641, 15.1223, 5.90739, 914, 0.9375
1, 0.400091, 14.9626, 14.2684, 21.8804, 5.87195, 915, 0.8125
1, 0.730112, 14.3007, 11.4098, 18.8418, 5.01681, 916, 0.8125
1, 0.274606, 13.7419, 13.192, 16.1173, 6.73529, 917, 0.75
1, 0.252803, 14.8784, 11.5259, 21.8989, 4.78825, 918, 0.8125
1, 0.286162, 17.695, 9.15924, 17.9247, 4.23702, 919, 0.875
1, 0.725689, 14.049, 13.8161, 14.4456, 7.13921, 920, 0.875
1, 0.77695, 16.5094, 11.1801, 18.3143, 4.67464, 921, 0.6875
